Transaction_ID,Timestamp,Final_Risk_Score,Decision,Previous_Hash,Current_Hash
TXN_1,2026-02-17 09:03:23,44,Approve,GENESIS,86f2c999e241627827acd53e93ac4e9a8cc28f7cb0cb5b672ccb707c4e3a0744
TXN_2,2026-02-14 08:21:23,50,Approve,86f2c999e241627827acd53e93ac4e9a8cc28f7cb0cb5b672ccb707c4e3a0744,24e7205f4ee07116db69cafb3518a4bb843857ca86640803c990d7f95df2f371
TXN_3,2026-02-16 13:31:23,40,Approve,24e7205f4ee07116db69cafb3518a4bb843857ca86640803c990d7f95df2f371,5b3305b40fadd2aa4f104f9fb1074abe059ac667e1c34ac15663c6dda100a81b
TXN_4,2026-02-18 03:10:23,56,OTP,5b3305b40fadd2aa4f104f9fb1074abe059ac667e1c34ac15663c6dda100a81b,c35044f49388e20127f8d36930d282954c8b7ab779ecbea9c9e876f22a49a3e5
TXN_5,2026-02-17 14:36:23,49,Approve,c35044f49388e20127f8d36930d282954c8b7ab779ecbea9c9e876f22a49a3e5,28d9cd190e951f5bef1aa4b295b087f5ef4b0d5ca7cf744a7ea36eb8fd5e009a
TXN_6,2026-02-15 09:28:23,35,Approve,28d9cd190e951f5bef1aa4b295b087f5ef4b0d5ca7cf744a7ea36eb8fd5e009a,6bfc2596ba72c4af13a025b45288ab6cb3652562d31ed080d6b1ba022aa0bb7f
TXN_7,2026-02-18 19:46:23,53,OTP,6bfc2596ba72c4af13a025b45288ab6cb3652562d31ed080d6b1ba022aa0bb7f,262d471b2444a8d922d2137726a9aba7e1cbcea56f9934424dd17987ae0ed14e
TXN_8,2026-02-17 01:45:23,57,OTP,262d471b2444a8d922d2137726a9aba7e1cbcea56f9934424dd17987ae0ed14e,b67caa5bb8ce3f68aba8a53e90fd578a9f6e2674907d0cb2d68c60dedcbb4722
TXN_9,2026-02-18 06:56:23,50,Approve,b67caa5bb8ce3f68aba8a53e90fd578a9f6e2674907d0cb2d68c60dedcbb4722,9b31d11bd353da6eb562f710c468899324a6dec69ab4d94ba6f39c07f1b94a56
TXN_10,2026-02-18 15:18:23,56,OTP,9b31d11bd353da6eb562f710c468899324a6dec69ab4d94ba6f39c07f1b94a56,43df018829da8f1660f361cab6fee10a5ea9a9d4595f04e9735cc5ee7fbadf21
TXN_11,2026-02-15 13:19:23,44,Approve,43df018829da8f1660f361cab6fee10a5ea9a9d4595f04e9735cc5ee7fbadf21,ffbfeebb29162db5220dc5508f1a86dd67923c38e15d22c834463e1856b1f945
TXN_12,2026-02-14 12:30:23,40,Approve,ffbfeebb29162db5220dc5508f1a86dd67923c38e15d22c834463e1856b1f945,0328e7629036fc87088663b89cfabc36ac4afadcd5064892af28f216262a0181
TXN_13,2026-02-15 17:37:23,50,Approve,0328e7629036fc87088663b89cfabc36ac4afadcd5064892af28f216262a0181,75665aa193c861606f7801274b8dfa74ceceb8eb559cd29ab83adbc9b4eb31ea
TXN_14,2026-02-17 23:14:23,50,Approve,75665aa193c861606f7801274b8dfa74ceceb8eb559cd29ab83adbc9b4eb31ea,12509a1447010601850a03c18ff5573b57540bfcc9ca8bebbb6104acd7798120
TXN_15,2026-02-17 17:45:23,40,Approve,12509a1447010601850a03c18ff5573b57540bfcc9ca8bebbb6104acd7798120,5922d2a24e299e030584e1aa17a9ce0dda62b829d42a508558a51d51ce01f7d0
TXN_16,2026-02-17 20:03:23,69,OTP,5922d2a24e299e030584e1aa17a9ce0dda62b829d42a508558a51d51ce01f7d0,ccd220fcc80423272d866a52870174306f0f7f91805641f09f95959b0a26ef3c
TXN_17,2026-02-18 16:12:23,44,Approve,ccd220fcc80423272d866a52870174306f0f7f91805641f09f95959b0a26ef3c,4b4c20e28a42413c6d56b9905b578cfbf899fcb403d684127d67a60499c901d7
TXN_18,2026-02-17 15:47:23,32,Approve,4b4c20e28a42413c6d56b9905b578cfbf899fcb403d684127d67a60499c901d7,b177cca804b759ba890fd7688c6e3205b319e54c0544651c5cf0edfcb61de683
